Main Lines of Code,Logical Lines of Code,Number of committers,Number of developer commits,Number of previous modifications,Number of previous fixes,Number of bugs
4,49,1,932,1,0,1
4,41,1,932,1,0,2
1,128,1,932,1,0,1
27,125,1,932,1,0,1
40,251,1,932,1,0,4
21,204,1,932,1,0,1
1,25,1,932,1,0,0
48,258,1,932,1,0,7
3,19,1,932,1,0,0
4,40,1,932,1,0,0
12,56,1,932,1,0,3
3,32,1,932,1,0,0
1,7,1,932,1,0,0
9,86,1,932,1,0,2
2,36,1,932,1,0,2
7,58,1,932,1,0,1
1,9,1,932,1,0,0
1,4,1,932,1,0,0
4,26,1,932,1,0,0
1,9,1,932,1,0,0
1,15,1,932,1,0,0
1,20,1,932,1,0,0
8,55,1,932,1,0,0
8,46,1,932,1,0,1
1,4,1,932,1,0,0
1,16,1,932,1,0,0
9,22,1,932,1,0,0
1,6,1,932,1,0,0
1,20,1,932,1,0,0
1,11,1,932,1,0,0
2,43,1,932,1,0,2
1,10,1,932,1,0,0
1,23,1,932,1,0,1
5,29,1,932,1,0,1
1,27,1,932,1,0,0
1,17,1,932,1,0,0
5,47,2,1,2,1,1
2,23,1,932,1,0,0
1,17,1,932,1,0,0
1,4,1,932,1,0,0
1,7,1,932,1,0,0
2,26,1,932,1,0,0
3,48,1,932,1,0,0
3,41,1,932,1,0,0
6,68,1,932,1,0,0
4,46,1,932,1,0,0
3,63,1,932,1,0,0
8,79,1,932,1,0,0
1,11,1,932,1,0,0
1,42,1,932,1,0,0
1,36,1,932,1,0,0
1,13,1,932,1,0,0
74,632,1,932,1,0,0
4,39,1,932,2,0,0
1,85,1,932,1,0,0
1,33,1,932,1,0,0
2,60,1,932,1,0,0
2,72,1,932,1,0,1
2,82,1,932,1,0,1
6,117,1,932,1,0,0
1,23,1,932,1,0,0
3,45,1,932,1,0,0
2,52,1,932,1,0,0
6,52,1,12,2,1300,0
40,277,2,51,2,1300,0
109,637,3,167,2,1300,3
12,73,0,50,2,1300,0
14,82,0,20,2,1843,0
1,25,0,8,2,1843,0
47,279,0,30,2,1843,0
17,162,1,37,2,1843,0
1,74,0,22,2,1300,0
22,110,0,11,2,1843,0
24,98,0,19,2,1300,0
3,22,0,7,2,1843,0
58,372,2,47,2,1843,0
65,565,0,86,2,1300,0
12,40,0,8,2,1300,0
30,262,0,52,2,1300,0
1,67,0,22,2,1843,0
17,202,0,81,2,1300,0
1,37,0,23,1,1843,0
10,61,0,44,2,1300,0
4,69,0,31,2,1300,0
28,114,1,11,2,1300,0
1,4,0,19,1,1843,0
42,362,1,72,2,1300,0
1,58,0,47,2,1843,0
18,97,0,25,2,1300,0
40,292,0,70,2,1300,0
25,226,1,72,2,1300,0
1,8,0,4,1,1843,0
23,90,0,10,1,1843,0
3,19,0,9,2,1843,0
11,58,0,11,2,1300,0
2,20,0,14,2,1300,0
2,30,0,6,2,1843,0
18,94,0,40,2,1843,0
1,10,0,16,2,1300,0
4,43,0,22,2,1843,0
1,3,0,5,1,1843,0
59,204,0,20,2,1300,0
10,98,0,24,2,1300,1
1,22,0,4,2,1300,0
4,43,0,16,2,1300,0
1,9,0,3,1,1843,0
1,11,0,10,2,1843,0
3,65,0,15,2,1300,0
35,195,0,51,2,1300,0
74,414,0,95,2,1843,3
1,33,0,14,2,1300,0
8,84,0,16,2,1300,1
32,144,0,67,2,1843,0
43,207,1,53,2,1843,1
5,130,0,26,2,1300,1
7,75,0,22,2,1300,0
25,92,0,33,2,1300,1
6,75,0,8,2,1300,0
1,6,0,5,1,1843,0
2,23,0,15,2,1300,0
4,52,0,21,2,1300,0
1,10,0,15,1,1843,0
21,144,0,13,3,1300,1
4,32,0,9,2,1300,0
64,278,0,52,2,1843,0
24,230,0,59,2,1300,0
1,13,0,9,1,1843,0
1,113,3,125,2,1300,4
96,625,0,166,2,1843,2
2,19,0,7,1,1843,0
2,26,0,6,2,1843,0
42,269,1,62,2,1300,0
8,36,0,12,2,1843,0
1,13,0,6,1,1843,0
1,10,0,8,2,1300,0
18,72,0,18,2,1843,0
2,28,0,15,1,1843,0
48,246,0,82,2,1300,1
1,12,0,5,1,1843,0
3,44,0,21,2,1300,0
1,12,0,7,1,1843,0
1,14,0,9,1,1843,0
1,10,0,6,2,1843,0
1,7,0,8,2,1843,0
1,7,0,8,2,1843,0
1,9,0,4,1,1843,0
1,9,0,4,1,1843,0
3,48,0,25,2,1300,0
1,8,0,7,2,1843,0
2,12,0,10,2,1300,0
1,3,0,3,1,1843,0
1,7,0,8,2,1843,0
1,15,0,4,2,1843,0
6,61,0,32,2,1843,0
1,6,0,7,2,1843,0
5,33,0,15,2,1300,0
7,67,0,27,2,1300,0
2,21,0,13,2,1843,0
1,9,0,9,2,1843,0
5,37,0,25,2,1843,1
1,16,0,12,1,1843,0
1,13,0,8,1,1843,0
3,30,0,14,2,1843,0
1,9,0,7,1,1843,0
1,25,0,14,2,1300,0
1,34,0,25,2,1300,0
1,19,0,15,2,1300,0
1,27,0,18,2,1300,0
1,19,0,15,2,1300,0
4,24,0,13,2,1843,0
1,9,0,6,2,1843,0
1,18,0,4,1,1843,0
1,26,0,20,2,1300,0
1,6,0,3,1,1843,0
1,12,0,7,1,1843,0
1,20,0,6,2,1300,0
1,13,0,11,2,1843,0
7,68,0,39,2,1300,0
2,21,0,16,2,1843,0
1,22,0,15,2,1843,0
1,17,0,3,1,1843,0
3,10,0,8,2,1843,0
43,314,0,59,2,1300,1
1,8,0,2,1,1843,0
5,36,0,24,2,1300,0
4,28,1,23,2,1843,0
7,34,0,12,2,1843,0
1,18,0,19,2,1300,0
1,16,0,8,1,1843,0
9,39,0,13,2,1300,0
1,9,0,7,1,1843,0
1,11,0,7,1,1843,0
1,16,0,8,1,1843,0
1,7,0,12,2,1843,0
5,37,0,11,2,1843,1
1,20,0,5,2,1300,0
1,23,0,19,2,1300,0
1,21,0,9,2,1300,0
30,174,0,22,2,1300,1
1,20,0,3,2,1843,0
1,17,0,11,2,1300,0
9,52,0,12,2,1300,0
8,66,0,16,2,1300,0
1,14,0,7,2,1300,0
1,21,0,9,2,1300,0
1,21,0,9,2,1300,0
1,14,0,6,2,1300,0
1,4,0,3,1,1300,0
1,14,0,7,2,1300,0
5,36,0,12,2,1300,0
1,3,0,5,2,1300,0
1,20,0,8,2,1300,0
1,14,0,7,2,1300,0
1,21,0,9,2,1300,0
1,14,0,5,2,1300,0
1,9,0,5,2,1843,0
1,10,0,8,2,1843,0
1,9,0,5,2,1843,0
1,7,0,5,2,1843,0
1,4,0,5,2,1843,0
1,4,0,5,2,1843,0
1,9,0,5,2,1843,0
1,5,0,5,2,1843,0
1,9,0,5,2,1843,0
1,13,0,5,2,1843,0
1,9,0,5,2,1843,0
1,9,0,5,2,1843,0
1,9,0,5,2,1843,0
1,7,0,5,2,1843,0
1,7,0,5,2,1843,0
1,7,0,5,2,1843,0
1,7,0,5,2,1843,0
1,13,0,5,2,1843,0
1,15,0,5,2,1843,0
1,7,0,5,2,1843,0
1,7,0,5,2,1843,0
1,7,0,5,2,1843,0
1,7,0,5,2,1843,0
1,9,0,5,2,1843,0
1,7,0,5,2,1843,0
1,7,0,5,2,1843,0
1,7,0,5,2,1843,0
1,7,0,5,2,1843,0
1,7,0,5,2,1843,0
1,7,0,5,2,1843,0
1,7,0,5,2,1843,0
1,9,0,5,2,1843,0
5,40,0,27,2,1300,0
1,7,0,5,1,1843,0
6,43,0,5,1,1843,0
4,25,0,13,2,1300,0
1,9,0,9,2,1843,0
1,9,0,9,2,1843,0
1,11,0,8,2,1843,0
1,7,0,9,2,1843,0
1,7,0,9,2,1843,0
1,11,0,8,2,1843,0
4,28,0,14,2,1843,0
1,7,0,4,1,1843,0
1,10,0,6,1,1843,0
1,8,0,6,1,1843,0
8,65,0,39,2,1300,0
1,8,0,7,1,1843,0
1,7,0,6,1,1843,0
1,7,0,5,1,1843,0
87,981,0,151,2,1300,2
4,62,0,11,2,1300,0
44,191,1,6,2,1300,0
5,87,0,3,2,1843,0
3,46,0,13,2,1300,0
1,334,1,35,2,1300,1
2,284,0,22,2,1300,0
3,413,0,24,2,1300,1
1,136,0,17,2,1843,0
7,333,0,33,2,1843,0
1,243,0,24,2,1300,0
8,422,0,47,2,1843,0
1,681,0,39,2,1843,0
2,214,0,34,2,1300,1
1,73,0,36,2,1300,0
3,122,0,12,2,1843,0
1,231,0,23,2,1300,0
1,587,1,43,2,1300,1
6,94,0,3,2,1843,0
1,270,0,41,2,1300,1
16,803,0,26,2,1300,0
1,341,0,10,2,1300,0
2,440,2,51,2,1843,3
1,210,0,2,1,1843,1
1,154,0,19,2,1300,1
4,565,1,52,2,1843,1
1,187,0,25,2,1300,1
1,287,0,42,2,1843,1
1,273,1,55,2,1300,3
1,155,0,10,2,1843,0
8,401,0,30,2,1843,0
1,112,0,13,2,1300,1
236,1497,0,112,2,1300,0
2,30,0,12,2,1300,0
1,143,0,26,2,1300,1
1,453,1,49,2,1300,2
1,221,1,21,2,1300,1
1,113,0,40,2,1300,0
6,777,0,19,2,1843,0
8,140,0,20,2,1300,0
1,288,3,35,2,1300,3
1,74,0,8,2,1300,0
3,262,0,18,2,1843,0
3,160,0,14,2,1843,0
5,214,0,8,2,1300,1
1,35,0,32,2,1300,2
1,17,1,39,2,1300,0
4,47,0,11,2,1300,0
16,144,0,30,2,1300,0
3,23,0,20,2,1300,0
1,45,0,21,2,1300,0
58,284,0,57,2,1843,1
1,7,0,20,2,1300,0
9,155,0,37,2,1843,0
4,29,0,11,2,1300,0
12,53,0,36,2,1300,0
1,14,0,15,2,1300,0
38,263,1,68,2,1300,0
9,88,0,25,2,1300,0
3,53,1,34,2,1843,0
1,8,0,16,2,1300,0
1,16,0,5,2,1300,0
