"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of committers","Number of developer commits","Number of previous modifications","Number of previous fixes","Number of bugs"
"L812","DefaultConfigurationFactory.java","library/src/com/nostra13/universalimageloader/core/DefaultConfigurationFactory.java","L811","4","0","49","1","932","1","0","1"
"L813","DisplayBitmapTask.java","library/src/com/nostra13/universalimageloader/core/DisplayBitmapTask.java","L811","4","0","41","1","932","1","0","2"
"L814","DisplayImageOptions.java","library/src/com/nostra13/universalimageloader/core/DisplayImageOptions.java","L811","1","0","128","1","932","1","0","1"
"L815","ImageDecoder.java","library/src/com/nostra13/universalimageloader/core/ImageDecoder.java","L811","27","0","125","1","932","1","0","1"
"L816","ImageLoader.java","library/src/com/nostra13/universalimageloader/core/ImageLoader.java","L811","40","0","251","1","932","1","0","4"
"L817","ImageLoaderConfiguration.java","library/src/com/nostra13/universalimageloader/core/ImageLoaderConfiguration.java","L811","21","0","204","1","932","1","0","1"
"L818","ImageLoadingInfo.java","library/src/com/nostra13/universalimageloader/core/ImageLoadingInfo.java","L811","1","0","25","1","932","1","0","0"
"L819","LoadAndDisplayImageTask.java","library/src/com/nostra13/universalimageloader/core/LoadAndDisplayImageTask.java","L811","48","0","258","1","932","1","0","7"
"L2828","FileUtils.java","library/src/com/nostra13/universalimageloader/utils/FileUtils.java","L2827","3","0","19","1","932","1","0","0"
"L2829","L.java","library/src/com/nostra13/universalimageloader/utils/L.java","L2827","4","0","40","1","932","1","0","0"
"L2830","StorageUtils.java","library/src/com/nostra13/universalimageloader/utils/StorageUtils.java","L2827","12","0","56","1","932","1","0","3"
"L116","BaseDiscCache.java","library/src/com/nostra13/universalimageloader/cache/disc/BaseDiscCache.java","L115","3","0","32","1","932","1","0","0"
"L117","DiscCacheAware.java","library/src/com/nostra13/universalimageloader/cache/disc/DiscCacheAware.java","L115","1","0","7","1","932","1","0","0"
"L118","LimitedDiscCache.java","library/src/com/nostra13/universalimageloader/cache/disc/LimitedDiscCache.java","L115","9","0","86","1","932","1","0","2"
"L416","BaseMemoryCache.java","library/src/com/nostra13/universalimageloader/cache/memory/BaseMemoryCache.java","L415","2","0","36","1","932","1","0","2"
"L417","LimitedMemoryCache.java","library/src/com/nostra13/universalimageloader/cache/memory/LimitedMemoryCache.java","L415","7","0","58","1","932","1","0","1"
"L418","MemoryCacheAware.java","library/src/com/nostra13/universalimageloader/cache/memory/MemoryCacheAware.java","L415","1","0","9","1","932","1","0","0"
"L822","FailReason.java","library/src/com/nostra13/universalimageloader/core/assist/FailReason.java","L821","1","0","4","1","932","1","0","0"
"L823","FlushedInputStream.java","library/src/com/nostra13/universalimageloader/core/assist/FlushedInputStream.java","L821","4","0","26","1","932","1","0","0"
